Time,Air Temperature ,Air Humidity ,Rainfall Indicator ,Soil Moisture ,Soil Moisture Difference
10:00:00,23,42.8,0,10.2,0
10:02:30,23,42.8,0,10,0.2
10:05:00,23,42.8,0,9.8,0.2
10:07:30,23,42.8,0,10,-0.2
10:10:00,23,42.9,0,10.1,-0.1
10:12:30,24,42.9,0,9.9,0.2
10:15:00,24,42.9,0,9.7,0.2
10:17:30,24,50.2,0,9.8,-0.1
10:20:00,24,50.2,0,9.9,-0.1
10:22:30,24,50.2,0,9.9,0
10:25:00,24,49.8,0,10,-0.1
10:27:30,24,49.8,0,9.8,0.2
10:30:00,24,49.8,0,9.8,0
10:32:30,24,49.9,0,10.1,-0.3
10:35:00,24,49.9,0,10.2,-0.1
10:37:30,24,49.9,0,10.2,0
10:40:00,24,49.9,0,10,0.2
10:42:30,24,50.3,0,10,0
10:45:00,24,50.3,0,10,0
10:47:30,27,50.3,0,10,0
10:50:00,27,50.5,0,9.8,0.2
10:52:30,27,50.5,0,9.9,-0.1
10:55:00,27,50.5,0,9.9,0
10:57:30,27,50.5,0,9.9,0
11:00:00,27,50.5,0,9.7,0.2
11:02:30,27,50.7,0,9.8,-0.1
11:05:00,27,50.7,0,9.9,-0.1
11:07:30,27,50.7,0,9.8,0.1
11:10:00,27,51.5,0,9.8,0
11:12:30,27,51.5,0,9.8,0
11:15:00,27,51.5,0,9.8,0
11:17:30,27,51.5,1,10,-0.2
11:20:00,26,51.5,1,10.3,-0.3
11:22:30,25,51.85,1,10.7,-0.4
11:25:00,25,51.9,1,11.1,-0.4
11:27:30,25,51.92,1,11.6,-0.5
11:30:00,25,52,1,12.3,-0.7
11:32:30,25,52.1,1,12.9,-0.6
11:35:00,25,52.6,1,13.6,-0.7
11:37:30,25,52.6,1,14.4,-0.8
11:40:00,25,52.6,1,15,-0.6
11:42:30,25,53,1,15.7,-0.7
11:45:00,25,53.1,1,16.5,-0.8
11:47:30,25,53.5,1,17.1,-0.6
11:50:00,25,54.1,1,17.8,-0.7
11:52:30,25,54.9,1,18.2,-0.4
11:55:00,25,54.9,1,18.9,-0.7
11:57:30,25,54.9,1,19.3,-0.4
12:00:00,25,54.9,1,19.6,-0.3
12:02:30,25,55.2,1,19.8,-0.2
12:05:00,25,55.3,1,20.1,-0.3
12:07:30,26,55.3,1,20.2,-0.1
12:10:00,26,55.3,0,20.5,-0.3
12:12:30,26,54.9,0,20.5,0
12:15:00,26,54.5,0,20.4,0.1
12:17:30,26,54.1,0,20.2,0.2
12:20:00,26,53.7,0,20.1,0.1
12:22:30,26,53.3,0,19.8,0.3
12:25:00,26,53.3,0,19.8,0
12:27:30,26,53.3,0,19.8,0
12:30:00,26,53.3,0,19.7,0.1
12:32:30,26,53.1,0,19.5,0.2
12:35:00,26,53,0,19.2,0.3
12:37:30,26,53,0,19,0.2
12:40:00,26,49.8,0,19,0
12:42:30,26,49.7,0,18.7,0.3
12:45:00,26,49.7,0,18.6,0.1
12:47:30,26,49.3,0,18.6,0
12:50:00,26,49.1,0,18.6,0
12:52:30,26,49,0,18.5,0.1
12:55:00,26,49,0,18.5,0
12:57:30,26,49,0,18.2,0.3
13:00:00,26,48.8,0,17.7,0.5
13:02:30,26,48.7,0,17.7,0
13:05:00,26,48.65,0,17.7,0
13:07:30,26,48.3,0,17.6,0.1
13:10:00,26,48.3,1,17.6,0
13:12:30,26,48.4,1,17.9,-0.3
13:15:00,26,48.6,1,18.3,-0.4
13:17:30,25,48.7,1,18.8,-0.5
13:20:00,25,48.7,1,19.1,-0.3
13:22:30,25,48.9,1,19.6,-0.5
13:25:00,25,49.3,1,20.1,-0.5
13:27:30,25,49.5,1,20.6,-0.5
13:30:00,25,49.5,0,20.6,0
13:32:30,26,49.5,0,20.6,0
13:35:00,26,49.2,0,20.4,0.2
13:37:30,26,49.1,0,20.3,0.1
13:40:00,27,49.1,0,20.2,0.1
13:42:30,27,49.1,0,20.2,0
13:45:00,29,49.1,0,20.2,0
13:47:30,29,48.9,0,19.8,0.4
13:50:00,29,48.9,0,19.6,0.2
13:52:30,29,48.7,0,19.6,0
13:55:00,30,48.6,0,19.3,0.3
13:57:30,30,48.6,0,19.1,0.2
14:00:00,30,48.5,0,18.9,0.2
14:02:30,30,48.5,0,18.9,0
14:05:00,30,48.4,0,18.7,0.2
14:07:30,30,48.4,0,18.7,0
14:10:00,30,48.2,0,18.6,0.1
